"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.baseline","avgt",5,3,9.405590,1.589964,"ms/op"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.baseline:·gc.alloc.rate","avgt",5,3,31.138705,4.924060,"MB/sec"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.baseline:·gc.alloc.rate.norm","avgt",5,3,64553.152135,19.861685,"B/op"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.baseline:·gc.churn.G1_Eden_Space","avgt",5,3,27.708388,0.228829,"MB/sec"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.baseline:·gc.churn.G1_Eden_Space.norm","avgt",5,3,57444.669520,9017.938298,"B/op"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.baseline:·gc.churn.G1_Old_Gen","avgt",5,3,0.012752,0.402962,"MB/sec"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.baseline:·gc.churn.G1_Old_Gen.norm","avgt",5,3,26.703044,843.790947,"B/op"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.baseline:·gc.count","avgt",5,3,6.000000,NaN,"counts"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.baseline:·gc.time","avgt",5,3,30.000000,NaN,"ms"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterNonStreaming","avgt",5,3,13.071595,0.692514,"ms/op"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterNonStreaming:·gc.alloc.rate","avgt",5,3,2130.099752,106.990562,"MB/sec"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterNonStreaming:·gc.alloc.rate.norm","avgt",5,3,6139178.786041,34.418781,"B/op"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterNonStreaming:·gc.churn.G1_Eden_Space","avgt",5,3,2130.277142,626.163338,"MB/sec"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterNonStreaming:·gc.churn.G1_Eden_Space.norm","avgt",5,3,6139901.687886,2114512.231689,"B/op"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterNonStreaming:·gc.churn.G1_Old_Gen","avgt",5,3,0.469295,1.204116,"MB/sec"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterNonStreaming:·gc.churn.G1_Old_Gen.norm","avgt",5,3,1352.277494,3418.472475,"B/op"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterNonStreaming:·gc.churn.G1_Survivor_Space","avgt",5,3,4.837369,6.197175,"MB/sec"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterNonStreaming:·gc.churn.G1_Survivor_Space.norm","avgt",5,3,13943.533762,18528.146081,"B/op"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterNonStreaming:·gc.count","avgt",5,3,106.000000,NaN,"counts"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterNonStreaming:·gc.time","avgt",5,3,895.000000,NaN,"ms"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterStreaming","avgt",5,3,2.786550,0.197030,"ms/op"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterStreaming:·gc.alloc.rate","avgt",5,3,105.237227,8.189862,"MB/sec"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterStreaming:·gc.alloc.rate.norm","avgt",5,3,64680.339464,6.194118,"B/op"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterStreaming:·gc.churn.G1_Eden_Space","avgt",5,3,108.613987,150.160571,"MB/sec"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterStreaming:·gc.churn.G1_Eden_Space.norm","avgt",5,3,66742.285186,87312.049538,"B/op"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterStreaming:·gc.churn.G1_Old_Gen","avgt",5,3,0.006769,0.100455,"MB/sec"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterStreaming:·gc.churn.G1_Old_Gen.norm","avgt",5,3,4.166207,61.845721,"B/op"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterStreaming:·gc.churn.G1_Survivor_Space","avgt",5,3,0.189893,6.000440,"MB/sec"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterStreaming:·gc.churn.G1_Survivor_Space.norm","avgt",5,3,117.283821,3706.057855,"B/op"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterStreaming:·gc.count","avgt",5,3,23.000000,NaN,"counts"
"com.hubspot.jackson.jaxrs.benchmark.PropertyFilterBenchmark.filterStreaming:·gc.time","avgt",5,3,64.000000,NaN,"ms"
